GEOID;COUNTRY;STATE;IECC15;IECC21;BA15;BA21;MOISTURE15;MOISTURE21;CPU
G51580;Covington;Virginia;4;5;Mixed-Humid;Cold;A;A
G01053;Escambia;Alabama;3;2;Hot-Humid;Hot-Humid;A;A
G72061;Guaynabo;;;;;;;
G72121;Sabana Grande;;;;;;;
G20089;Jewell;Kansas;5;5;Cold;Cold;A;A
G46099;Minnehaha;South Dakota;6;6;Cold;Cold;A;A
G36097;Schuyler;New York;6;5;Cold;Cold;A;A
G42015;Bradford;Pennsylvania;5;5;Cold;Cold;A;A
G20059;Franklin;Kansas;4;4;Mixed-Humid;Mixed-Humid;A;A
G13113;Fayette;Georgia;3;3;Mixed-Humid;Mixed-Humid;A;A
G17171;Scott;Illinois;5;5;Cold;Cold;A;A
G04003;Cochise;Arizona;3;3;Hot-Dry;Hot-Dry;B;B
G06049;Modoc;California;5;5;Cold;Cold;B;B
G17091;Kankakee;Illinois;5;5;Cold;Cold;A;A
G19195;Worth;Iowa;6;6;Cold;Cold;A;A
G19063;Emmet;Iowa;6;6;Cold;Cold;A;A
G26053;Gogebic;Michigan;7;6;Very Cold;Cold;;A
G20077;Harper;Kansas;4;4;Mixed-Humid;Mixed-Humid;A;A
G47109;McNairy;Tennessee;3;3;Mixed-Humid;Mixed-Humid;A;A
G39003;Allen;Ohio;5;5;Cold;Cold;A;A
G51199;York;Virginia;4;4;Mixed-Humid;Mixed-Humid;A;A
G13109;Evans;Georgia;2;2;Hot-Humid;Hot-Humid;A;A
G05111;Poinsett;Arkansas;3;3;Mixed-Humid;Mixed-Humid;A;A
G13171;Lamar;Georgia;3;3;Mixed-Humid;Mixed-Humid;A;A
G13123;Gilmer;Georgia;4;3;Mixed-Humid;Mixed-Humid;A;A
G18139;Rush;Indiana;5;4;Cold;Mixed-Humid;A;A
G21067;Fayette;Kentucky;4;4;Mixed-Humid;Mixed-Humid;A;A
G21049;Clark;Kentucky;4;4;Mixed-Humid;Mixed-Humid;A;A
G26049;Genesee;Michigan;5;5;Cold;Cold;A;A
G37015;Bertie;North Carolina;4;3;Mixed-Humid;Mixed-Humid;A;A
G46121;Todd;South Dakota;5;5;Cold;Cold;A;A
G55087;Outagamie;Wisconsin;6;5;Cold;Cold;A;A
G72137;Toa Baja;;;;;;;
G18105;Monroe;Indiana;4;4;Mixed-Humid;Mixed-Humid;A;A
G08113;San Miguel;Colorado;6;6;Cold;Cold;B;B
G19027;Carroll;Iowa;5;5;Cold;Cold;A;A
G28141;Tishomingo;Mississippi;3;3;Mixed-Humid;Mixed-Humid;A;A
G13279;Toombs;Georgia;2;2;Hot-Humid;Hot-Humid;A;A
G39085;Lake;Ohio;5;5;Cold;Cold;A;A
G21087;Green;Kentucky;4;4;Mixed-Humid;Mixed-Humid;A;A
G31035;Clay;Nebraska;5;5;Cold;Cold;A;A
G04011;Greenlee;Arizona;3;3;Hot-Dry;Hot-Dry;B;B
G21019;Boyd;Kentucky;4;4;Mixed-Humid;Mixed-Humid;A;A
G20011;Bourbon;Kansas;4;4;Mixed-Humid;Mixed-Humid;A;A
G36015;Chemung;New York;5;5;Cold;Cold;A;A
G40001;Adair;Oklahoma;3;3;Mixed-Humid;Mixed-Humid;A;A
G48195;Hansford;Texas;4;4;Mixed-Dry;Mixed-Dry;B;B
G51183;Sussex;Virginia;4;3;Mixed-Humid;Mixed-Humid;A;A
G46063;Harding;South Dakota;6;6;Cold;Cold;A;A
G37199;Yancey;North Carolina;5;5;Cold;Cold;A;A
G28045;Hancock;Mississippi;2;2;Hot-Humid;Hot-Humid;A;A
G05065;Izard;Arkansas;4;4;Mixed-Humid;Mixed-Humid;A;A
G18157;Tippecanoe;Indiana;5;5;Cold;Cold;A;A
G18011;Boone;Indiana;5;5;Cold;Cold;A;A
G19121;Madison;Iowa;5;5;Cold;Cold;A;A
G21217;Taylor;Kentucky;4;4;Mixed-Humid;Mixed-Humid;A;A
G20169;Saline;Kansas;4;4;Mixed-Humid;Mixed-Humid;A;A
G26015;Barry;Michigan;5;5;Cold;Cold;A;A
G27161;Waseca;Minnesota;6;6;Cold;Cold;A;A
G27013;Blue Earth;Minnesota;6;6;Cold;Cold;A;A
G37057;Davidson;North Carolina;3;3;Mixed-Humid;Mixed-Humid;A;A
G39141;Ross;Ohio;5;4;Cold;Mixed-Humid;A;A
G47175;Van Buren;Tennessee;4;4;Mixed-Humid;Mixed-Humid;A;A
G48145;Falls;Texas;2;2;Hot-Humid;Hot-Humid;A;A
G48305;Lynn;Texas;3;3;Hot-Dry;Hot-Dry;B;B
G48117;Deaf Smith;Texas;4;4;Mixed-Dry;Mixed-Dry;B;B
G72139;Trujillo Alto;;;;;;;
G56009;Converse;Wyoming;6;6;Cold;Cold;B;B
G51073;Gloucester;Virginia;4;4;Mixed-Humid;Mixed-Humid;A;A
G48267;Kimble;Texas;3;3;Hot-Dry;Hot-Dry;B;B
G35025;Lea;New Mexico;3;3;Hot-Dry;Hot-Dry;B;B
G08023;Costilla;Colorado;6;6;Cold;Cold;B;B
G19077;Guthrie;Iowa;5;5;Cold;Cold;A;A
G28129;Smith;Mississippi;3;3;Hot-Humid;Hot-Humid;A;A
G20165;Rush;Kansas;4;4;Mixed-Humid;Mixed-Humid;A;A
G20097;Kiowa;Kansas;4;4;Mixed-Humid;Mixed-Humid;A;A
G29217;Vernon;Missouri;4;4;Mixed-Humid;Mixed-Humid;A;A
G37077;Granville;North Carolina;4;3;Mixed-Humid;Mixed-Humid;A;A
G31077;Greeley;Nebraska;5;5;Cold;Cold;A;A
G42099;Perry;Pennsylvania;5;4;Cold;Mixed-Humid;A;A
G17071;Henderson;Illinois;5;5;Cold;Cold;A;A
G48221;Hood;Texas;3;3;Hot-Humid;Hot-Humid;A;A
G17087;Johnson;Illinois;4;4;Mixed-Humid;Mixed-Humid;A;A
G51790;Staunton;Virginia;4;4;Mixed-Humid;Mixed-Humid;A;A
G17011;Bureau;Illinois;5;5;Cold;Cold;A;A
G19021;Buena Vista;Iowa;6;5;Cold;Cold;A;A
G18087;LaGrange;Indiana;5;5;Cold;Cold;A;A
G28153;Wayne;Mississippi;3;3;Hot-Humid;Hot-Humid;A;A
G21171;Monroe;Kentucky;4;4;Mixed-Humid;Mixed-Humid;A;A
G04019;Pima;Arizona;2;2;Hot-Dry;Hot-Dry;B;B
G40053;Grant;Oklahoma;3;4;Mixed-Humid;Mixed-Humid;A;A
G48357;Ochiltree;Texas;4;4;Mixed-Dry;Mixed-Dry;B;B
G40059;Harper;Oklahoma;3;4;Mixed-Humid;Mixed-Humid;A;A
G72151;Yabucoa;;;;;;;
G17177;Stephenson;Illinois;5;5;Cold;Cold;A;A
G18091;LaPorte;Indiana;5;5;Cold;Cold;A;A
G36067;Onondaga;New York;5;5;Cold;Cold;A;A
G16047;Gooding;Idaho;5;5;Cold;Cold;B;B
G21055;Crittenden;Kentucky;4;4;Mixed-Humid;Mixed-Humid;A;A
G19007;Appanoose;Iowa;5;5;Cold;Cold;A;A
G21063;Elliott;Kentucky;4;4;Mixed-Humid;Mixed-Humid;A;A
G24011;Caroline;Maryland;4;4;Mixed-Humid;Mixed-Humid;A;A
